MOL_ID	Structure	Formula	MolWeight	RefNumber	CommonName	TradeNames	CodeNos	CASRN1	Use_	YrIntro	BSupp	SHANO	IUPAC	CASName	CommonNameApp	PMRef	EINECS	RTECS
1	CSC1=NC(NCC)=NC(NC(C)C)=N1	C9H17N5S	227.33	1130300	"ametryn, ametryne"	"Evik, Gesapax, Ametrex"	G-34162	834-12-8	Herbicide	Demo	"Ciba (Evik*)
Ciba, Ltd. (Gesapax*)
Makhteshim-Agan (Ametrex*)
OXON Italia S.p.A.
Sanachem (Pty) Ltd. (Sancopax*)"	080801	"N-ethyl-N'-isopropyl-6-methylthio-1,3,5-triazine-2,4-diyldiamine
2-ethylamino-4-isopropylamino-6-methylthio-1,3,5-triazine"	"N-ethyl-N'-(1-methylethyl)-6-methylthio-1,3,5-triazine-2,4-diamine (9CI)
2-(ethylamino)-4-(isopropylamino)-6-(methylthio)-s-triazine (8CI)"	"ametryn (ISO-E, ANSI, BSI, JMAF, WSSA)
ametryne (ISO-F, old BSI pre 1984))
(EEC 613-010-0"	"PM10: 22 p32"	212-634-7	XY9100000
2	OC(C1=CN=CN=C1)(C2=CC=C(OC)C=C2)C3CC3	C15H16N2O2	256.3	1140300	"ancymidol, ancymidole"	"A-Rest, Reducymol, [Quel]"	EL-531	12771-68-5	"Plant Growth Regulator"	Demo	"DowElanco (A-Rest*)"	108601	"alpha-cyclopropyl-4-methoxy-alpha-(pyrimidin-5-yl)benzyl alcohol"	"alpha-cyclopropyl-alpha-(4-methoxyphenyl)-5-pyrimidinemethanol (9CI)
alpha-cyclopropyl-alpha-(p-methoxyphenyl)-5-pyrimidinemethanol (8CI)"	"ancymidol (ISO-E, ANSI, BSI)
ancymidole (ISO-F)"	"PM10: 28 p41"	235-814-7	UV9280000
3	O=C(C1C(OC)=O)C(/C(CCC)=N/OCC=C)=C([O-])CC1(C)C.[Na+]	C17H24NNaO5	345.366	1150400	alloxydim-sodium	Kusagard,Clout,Fervin,Grasip,Grasipan	NP-48Na	66003-55-2	Herbicide	demo	"Nippon Soda Co., Ltd. (ADS*, Kusagard*)"	112601	"methyl (E)-(RS)-3-(1-(allyloxyimino)butyl]-4-hydroxy-6,6-dimethyl-2-oxocyclohex-3-
enecarboxylate"	"methyl 4-hydroxy-6,6-dimethyl-2-oxo-3-[1-[(2-propenyloxy)imino]butyl]- 3-cyclohexene-
1-carboxylate (9CI)"	"alloxydim-sodium (ISO (prov), BSI)"	"PM10: 20 p29"	x	
4	O=C(OC1=CC=CC(C2)=C1OC2(C)C)N(C)SN(C(C)C)CCC(OCC)=O	C20H30N2O5S	410.528	2040200	"benfuracarb, benfuracarbe"	"Oncol, Furacon, aminofuracarb"	"OK-174, OC-11588"	82560-54-1	Insecticide	demo	"Otsuka Chemical Co., Ltd. (Oncol*)"	111811	"ethyl N-[2,3-dihydro-2,2-dimethylbenzofuran-7-yloxycarbonyl(methyl)aminothio]-N-isopropyl-
ß-alaninate"	"2,3-dihydro-2,2-dimethyl-7-benzofuranyl 2-methyl-4-(1-methylethyl)-7-oxo-8-oxa-3-thia-2,4-
diazadecanoate (9CI)"	"benfuracarb (ISO (prov), BSI)"	"PM10: 55 p78"	x	
5	O=C(CC1=CC=CC=C1)N(C(C)C(OC)=O)C2=C(C)C=CC=C2C	C20H23NO3	325.402	2042400	benalaxyl	"Galben, Tairel, Trecatol"	M-9834	71626-11-4	Fungicide	demo	"ISAGRO (Galben*, Tairel*, Trecatol*)"	127001	"methyl N-phenylacetyl-N-2,6-xylyl-DL-alaninate"	"methyl N-(2,6-dimethylphenyl)-N-(phenylacetyl)-DL-alaninate (9CI)"	"benalaxyl (ISO (PROV), BSI)"	"PM10: 51 p71"	275-728-7	
6	O=C(N(CC)CC)SCC1=CC=C(C=C1)Cl	C12H16ClNOS	257.78	2051500	"*thiobencarb, benthiocarb"	"*Saturn, Abolish, Bolero, Saturno"	B-3015	28249-77-6	Herbicide	Demo	"Kumiai Chemical Industry Co., Ltd. (Bolero*, Saturn*, Saturno*)"	108401	"S-4-chlorobenzyl diethyl(thiocarbamate)"	"S-[(4-chlorophenyl)methyl] diethylcarbamothioate (9CI)
S-(p-chlorobenzyl) diethylthiocarbamate (8CI)"	"thiobencarb (ISO-E, ANSI, BSI, WSSA)
thiobencarbe (ISO-F)
benthiocarb (JMAF)"	"PM10: 677 p979"	248-924-5	EZ7260000
7	O=S(SCC(N(C)C)CSS(=O)(C1=CC=CC=C1)=O)(C2=CC=CC=C2)=O	C17H21NO4S4	431.613	2052000	bensultap	"Bancol, Ruban, Victenon, (ZZ-Doricida)"	"TI-78, TI-1671"	17606-31-4	Insecticide	Demo	"Takeda Chemical Industries Ltd. (Bancol*)"	x	"S,S'-2-dimethylaminotrimethylene di(benzene thiosulphonate)"	"S,S'-[2-(dimethylamino)-1,3-propanediyl] dibenzenesulfothioate (9CI)"	"bensultap (ISO (prov), BSI)"	"PM10: 61 p88"	x	
8	O=C(C(C(Cl)=C1C)=CC=C1Cl)C2=C(OCC(C(C=C3)=CC=C3C)=O)N(N=C2C)C	C22H20Cl2N2O3	431.312	2052300	benzofenap	Yukawide	MY-71	82692-44-2	Herbicide	Demo	"Mitsubishi Petrochemical Co., Ltd. (Yukawide*)"	x	2-[4-(2,4-dichloro-m-toluoyl)-1,3-dimethylpyrazol-5-yloxy]-4'-methylacetophenone	"2-[[4-(2,4-dichloro-3-methylbenzoyl)-1,3-dimethyl-1H-pyrazol-5-yl]oxy]-1-(4-methylphenyl)
ethanone (9CI)"	"benzofenap (ISO (prov), BSI)"	"PM10: 63 p92"	x	
9	O=C(C1=CC=CC=C1)O/C(C2=C(OC)C=CC(Cl)=C2OC)=N\OCC	C18H18ClNO5	363.792	2060700	"benzoximate, benzomate"	"Aazomate, Artaban, Acarmate, Citrazon"	NA-53M	29104-30-1	Acaricide	Demo	"Nippon Soda Co., Ltd. (Citrazon*, Aazomate* in Europe)"	x	"3-chloro-alpha-ethoxyimino-2,6-dimethoxybenzyl  benzoate
ethyl O-benzoyl 3-chloro-2,6-dimethoxybenzohydroximate"	"benzoic acid anhydride with 3-chloro-N-ethoxy-2,6-dimethoxybenzenecarboximidic acid (9CI)"	"benzoximate (ISO, BSI)
benzomate (JMAF)"	"PM10: 64 p93"	249-439-1	
10	O=CC12OC3CC=CCC3C1CC=CC2	C13H16O2	204.265	2092100		"MGK Repellent 11"	MGK-11	126-15-8	Repellent	Demo	"McLaughlin Gormley King"	x	2,3,4,5-bis(­-2-butenylene)-tetrahydro-2-furaldehyde	"1,5a,6,9,9a,9b-hexahydro-4a(4H)-dibenzofurancarboxaldehyde (9CI)"	"no approvals"	"PM10: S976 p1087"	204-773-7	HP5075000
